tanggal,curah_hujan,lokasi
2019-01-01,23.94,Bima Barat
2019-01-02,14.94,Bima Tengah
2019-01-03,13.82,Bima Barat
2019-01-04,13.82,Bima Tengah
2019-01-05,46.5,Bima Tengah
2019-01-06,28.67,Bima Barat
2019-01-07,11.31,Bima Tengah
2019-01-08,24.7,Bima Barat
2019-01-09,19.99,Bima Barat
2019-01-10,2.16,Bima Tengah
2019-01-11,6.71,Bima Tengah
2019-01-12,21.06,Bima Timur
2019-01-13,43.65,Bima Tengah
2019-01-14,13.92,Bima Timur
2019-01-15,10.58,Bima Tengah
2019-01-16,18.14,Bima Barat
2019-01-17,10.05,Bima Tengah
2019-01-18,13.18,Bima Barat
2019-01-19,16.49,Bima Barat
2019-01-20,6.4,Bima Barat
2019-01-21,29.7,Bima Timur
2019-01-22,5.35,Bima Tengah
2019-01-23,4.73,Bima Barat
2019-01-24,19.34,Bima Barat
2019-01-25,28.13,Bima Timur
2019-01-26,18.98,Bima Tengah
2019-01-27,15.22,Bima Tengah
2019-01-28,13.07,Bima Timur
2019-01-29,11.4,Bima Timur
2019-01-30,34.38,Bima Tengah
2019-01-31,21.21,Bima Timur
2019-02-01,12.17,Bima Tengah
2019-02-02,9.37,Bima Tengah
2019-02-03,25.88,Bima Barat
2019-02-04,33.83,Bima Barat
2019-02-05,31.81,Bima Tengah
2019-02-06,8.01,Bima Tengah
2019-02-07,12.98,Bima Tengah
2019-02-08,11.21,Bima Tengah
2019-02-09,14.38,Bima Tengah
2019-02-10,29.51,Bima Tengah
2019-02-11,41.02,Bima Timur
2019-02-12,21.78,Bima Tengah
2019-02-13,9.65,Bima Timur
2019-02-14,16.21,Bima Timur
2019-02-15,46.13,Bima Tengah
2019-02-16,17.82,Bima Tengah
2019-02-17,13.1,Bima Timur
2019-02-18,13.99,Bima Timur
2019-02-19,21.72,Bima Tengah
2019-02-20,8.26,Bima Tengah
2019-02-21,10.99,Bima Timur
2019-02-22,31.5,Bima Timur
2019-02-23,21.28,Bima Timur
2019-02-24,17.95,Bima Barat
2019-02-25,32.56,Bima Timur
2019-02-26,9.15,Bima Barat
2019-02-27,12.78,Bima Tengah
2019-02-28,20.79,Bima Tengah
2019-03-01,20.27,Bima Timur
2019-03-02,4.26,Bima Tengah
2019-03-03,11.8,Bima Tengah
2019-03-04,14.67,Bima Tengah
2019-03-05,22.45,Bima Tengah
2019-03-06,20.22,Bima Barat
2019-03-07,15.72,Bima Barat
2019-03-08,2.14,Bima Timur
2019-03-09,16.33,Bima Timur
2019-03-10,17.46,Bima Timur
2019-03-11,72.98,Bima Tengah
2019-03-12,14.3,Bima Tengah
2019-03-13,20.87,Bima Barat
2019-03-14,36.2,Bima Barat
2019-03-15,28.38,Bima Timur
2019-03-16,42.13,Bima Barat
2019-03-17,4.33,Bima Barat
2019-03-18,6.87,Bima Barat
2019-03-19,10.37,Bima Barat
2019-03-20,3.59,Bima Barat
2019-03-21,17.57,Bima Timur
2019-03-22,7.39,Bima Timur
2019-03-23,45.75,Bima Barat
2019-03-24,8.46,Bima Timur
2019-03-25,12.85,Bima Tengah
2019-03-26,29.53,Bima Barat
2019-03-27,5.29,Bima Tengah
2019-03-28,3.34,Bima Timur
2019-03-29,19.17,Bima Timur
2019-03-30,20.25,Bima Tengah
2019-03-31,28.93,Bima Timur
2019-04-01,24.35,Bima Barat
2019-04-02,20.8,Bima Tengah
2019-04-03,9.34,Bima Barat
2019-04-04,19.85,Bima Tengah
2019-04-05,20.74,Bima Timur
2019-04-06,9.04,Bima Tengah
2019-04-07,54.22,Bima Tengah
2019-04-08,23.56,Bima Barat
2019-04-09,6.98,Bima Timur
2019-04-10,29.03,Bima Barat
2019-04-11,32.45,Bima Timur
2019-04-12,22.58,Bima Barat
2019-04-13,13.7,Bima Tengah
2019-04-14,8.71,Bima Barat
2019-04-15,15.69,Bima Timur
2019-04-16,21.47,Bima Timur
2019-04-17,16.84,Bima Tengah
2019-04-18,43.36,Bima Timur
2019-04-19,26.12,Bima Barat
2019-04-20,7.87,Bima Tengah
2019-04-21,6.31,Bima Timur
2019-04-22,23.7,Bima Timur
2019-04-23,13.95,Bima Barat
2019-04-24,27.69,Bima Barat
2019-04-25,23.55,Bima Tengah
2019-04-26,15.74,Bima Timur
2019-04-27,7.95,Bima Barat
2019-04-28,3.76,Bima Tengah
2019-04-29,19.59,Bima Timur
2019-04-30,5.2,Bima Timur
2019-05-01,7.66,Bima Tengah
2019-05-02,18.73,Bima Tengah
2019-05-03,17.43,Bima Barat
2019-05-04,5.84,Bima Timur
2019-05-05,34.92,Bima Timur
2019-05-06,34.31,Bima Timur
2019-05-07,24.24,Bima Tengah
2019-05-08,24.22,Bima Barat
2019-05-09,24.24,Bima Timur
2019-05-10,32.27,Bima Tengah
2019-05-11,26.57,Bima Timur
2019-05-12,8.55,Bima Barat
2019-05-13,13.79,Bima Timur
2019-05-14,67.97,Bima Barat
2019-05-15,2.31,Bima Barat
2019-05-16,11.29,Bima Timur
2019-05-17,35.05,Bima Timur
2019-05-18,9.03,Bima Barat
2019-05-19,27.07,Bima Tengah
2019-05-20,17.26,Bima Barat
2019-05-21,9.59,Bima Timur
2019-05-22,1.81,Bima Timur
2019-05-23,19.19,Bima Tengah
2019-05-24,8.39,Bima Barat
2019-05-25,15.23,Bima Barat
2019-05-26,24.07,Bima Barat
2019-05-27,30.53,Bima Timur
2019-05-28,11.26,Bima Barat
2019-05-29,9.58,Bima Tengah
2019-05-30,5.11,Bima Timur
2019-05-31,31.55,Bima Timur
2019-06-01,61.82,Bima Barat
2019-06-02,33.86,Bima Tengah
2019-06-03,38.96,Bima Timur
2019-06-04,9.1,Bima Timur
2019-06-05,23.08,Bima Barat
2019-06-06,28.8,Bima Barat
2019-06-07,6.63,Bima Tengah
2019-06-08,47.87,Bima Barat
2019-06-09,4.18,Bima Tengah
2019-06-10,43.06,Bima Timur
2019-06-11,4.15,Bima Tengah
2019-06-12,6.94,Bima Tengah
2019-06-13,23.37,Bima Tengah
2019-06-14,17.58,Bima Timur
2019-06-15,12.17,Bima Barat
2019-06-16,46.67,Bima Timur
2019-06-17,5.25,Bima Barat
2019-06-18,14.78,Bima Tengah
2019-06-19,25.47,Bima Tengah
2019-06-20,20.56,Bima Tengah
2019-06-21,9.85,Bima Tengah
2019-06-22,10.16,Bima Tengah
2019-06-23,30.22,Bima Barat
2019-06-24,31.19,Bima Barat
2019-06-25,20.96,Bima Tengah
2019-06-26,8.09,Bima Timur
2019-06-27,10.43,Bima Timur
2019-06-28,16.4,Bima Tengah
2019-06-29,18.23,Bima Barat
2019-06-30,24.77,Bima Timur
2019-07-01,14.19,Bima Timur
2019-07-02,29.76,Bima Timur
2019-07-03,29.53,Bima Tengah
2019-07-04,39.84,Bima Timur
2019-07-05,16.94,Bima Timur
2019-07-06,21.21,Bima Timur
2019-07-07,15.04,Bima Timur
2019-07-08,8.18,Bima Barat
2019-07-09,60.9,Bima Tengah
2019-07-10,36.53,Bima Tengah
2019-07-11,29.12,Bima Barat
2019-07-12,16.51,Bima Barat
2019-07-13,7.56,Bima Tengah
2019-07-14,32.69,Bima Timur
2019-07-15,14.84,Bima Timur
2019-07-16,22.59,Bima Tengah
2019-07-17,10.4,Bima Timur
2019-07-18,20.03,Bima Barat
2019-07-19,10.94,Bima Timur
2019-07-20,11.3,Bima Timur
2019-07-21,19.85,Bima Timur
2019-07-22,4.09,Bima Tengah
2019-07-23,4.3,Bima Barat
2019-07-24,9.01,Bima Timur
2019-07-25,14.06,Bima Tengah
2019-07-26,30.37,Bima Timur
2019-07-27,14.69,Bima Barat
2019-07-28,16.43,Bima Timur
2019-07-29,13.21,Bima Barat
2019-07-30,21.19,Bima Timur
2019-07-31,8.11,Bima Barat
2019-08-01,15.3,Bima Timur
2019-08-02,22.41,Bima Barat
2019-08-03,19.73,Bima Timur
2019-08-04,16.83,Bima Timur
2019-08-05,16.99,Bima Tengah
2019-08-06,23.96,Bima Tengah
2019-08-07,62.78,Bima Barat
2019-08-08,8.59,Bima Timur
2019-08-09,63.93,Bima Barat
2019-08-10,8.26,Bima Tengah
2019-08-11,1.54,Bima Barat
2019-08-12,10.76,Bima Barat
2019-08-13,21.48,Bima Tengah
2019-08-14,54.52,Bima Timur
2019-08-15,7.55,Bima Barat
2019-08-16,23.86,Bima Tengah
2019-08-17,4.77,Bima Timur
2019-08-18,53.25,Bima Tengah
2019-08-19,37.0,Bima Barat
2019-08-20,11.31,Bima Timur
2019-08-21,40.97,Bima Timur
2019-08-22,15.23,Bima Tengah
2019-08-23,38.3,Bima Tengah
2019-08-24,16.73,Bima Tengah
2019-08-25,17.28,Bima Timur
2019-08-26,11.51,Bima Timur
2019-08-27,26.07,Bima Barat
2019-08-28,18.27,Bima Timur
2019-08-29,24.23,Bima Barat
2019-08-30,3.67,Bima Tengah
2019-08-31,39.2,Bima Tengah
2019-09-01,45.78,Bima Timur
2019-09-02,18.21,Bima Tengah
2019-09-03,59.94,Bima Tengah
2019-09-04,51.15,Bima Timur
2019-09-05,26.46,Bima Barat
2019-09-06,41.31,Bima Timur
2019-09-07,34.41,Bima Barat
2019-09-08,2.71,Bima Timur
2019-09-09,13.42,Bima Timur
2019-09-10,27.75,Bima Tengah
2019-09-11,47.77,Bima Timur
2019-09-12,4.44,Bima Timur
2019-09-13,2.93,Bima Barat
2019-09-14,15.96,Bima Tengah
2019-09-15,1.69,Bima Barat
2019-09-16,15.54,Bima Barat
2019-09-17,21.86,Bima Tengah
2019-09-18,7.24,Bima Tengah
2019-09-19,15.87,Bima Tengah
2019-09-20,32.29,Bima Timur
2019-09-21,10.72,Bima Tengah
2019-09-22,8.38,Bima Tengah
2019-09-23,15.32,Bima Tengah
2019-09-24,6.56,Bima Barat
2019-09-25,57.07,Bima Barat
2019-09-26,17.13,Bima Timur
2019-09-27,9.17,Bima Barat
2019-09-28,19.58,Bima Timur
2019-09-29,15.26,Bima Barat
2019-09-30,13.97,Bima Tengah
2019-10-01,10.71,Bima Barat
2019-10-02,10.28,Bima Timur
2019-10-03,3.76,Bima Barat
2019-10-04,41.27,Bima Tengah
2019-10-05,25.27,Bima Timur
2019-10-06,21.02,Bima Tengah
2019-10-07,15.07,Bima Tengah
2019-10-08,7.12,Bima Timur
2019-10-09,8.68,Bima Tengah
2019-10-10,4.22,Bima Tengah
2019-10-11,9.64,Bima Barat
2019-10-12,6.24,Bima Tengah
2019-10-13,49.31,Bima Tengah
2019-10-14,30.84,Bima Tengah
2019-10-15,17.69,Bima Tengah
2019-10-16,7.84,Bima Timur
2019-10-17,6.54,Bima Barat
2019-10-18,14.33,Bima Tengah
2019-10-19,31.71,Bima Tengah
2019-10-20,4.35,Bima Timur
2019-10-21,25.04,Bima Tengah
2019-10-22,9.6,Bima Timur
2019-10-23,11.14,Bima Barat
2019-10-24,17.3,Bima Barat
2019-10-25,8.08,Bima Tengah
2019-10-26,13.77,Bima Tengah
2019-10-27,7.48,Bima Tengah
2019-10-28,10.27,Bima Timur
2019-10-29,28.44,Bima Tengah
2019-10-30,17.98,Bima Tengah
2019-10-31,28.37,Bima Barat
2019-11-01,9.49,Bima Tengah
2019-11-02,25.17,Bima Barat
2019-11-03,3.25,Bima Tengah
2019-11-04,17.3,Bima Barat
2019-11-05,26.34,Bima Tengah
2019-11-06,3.1,Bima Barat
2019-11-07,9.59,Bima Timur
2019-11-08,17.29,Bima Barat
2019-11-09,33.33,Bima Barat
2019-11-10,10.27,Bima Barat
2019-11-11,24.48,Bima Tengah
2019-11-12,43.06,Bima Tengah
2019-11-13,25.28,Bima Tengah
